200 2
2 2 
22 0 2
18 21 1
22 2 1
14 16 2
7 10 1
1 4 1
7 11 1
3 6 1
4 7 1
6 10 1
12 15 2
23 3 2
1 3 1
13 16 1
9 14 1
0 4 2
7 11 2
5 7 2
20 21 1
11 14 1
3 4 2
2 6 2
11 13 2
5 7 2
3 6 1
23 2 2
8 10 2
19 22 2
17 21 2
1 4 1
22 1 2
9 12 2
17 20 1
4 7 1
18 21 2
20 23 1
19 23 2
9 11 2
7 11 1
11 16 2
9 12 2
6 8 2
8 11 2
3 6 1
2 7 1
19 22 1
16 18 1
19 20 1
9 13 2
5 7 1
11 15 1
9 12 1
15 18 2
11 15 2
22 2 1
17 21 2
20 22 1
23 1 1
1 5 2
15 19 1
0 1 2
7 11 1
16 18 1
22 0 2
21 22 2
6 9 1
11 14 2
11 15 1
12 15 1
2 5 1
9 12 2
13 16 1
8 11 2
13 16 2
18 21 2
5 8 2
1 3 1
5 10 1
21 0 2
7 10 1
3 7 2
1 3 2
12 15 2
18 19 1
16 19 2
1 4 1
0 1 2
18 21 1
7 11 1
21 1 2
19 21 2
23 3 1
1 4 2
13 17 1
22 0 1
17 18 2
18 21 1
13 16 1
8 10 2
2 5 2
1 3 2
1 3 1
2 4 2
4 5 1
13 15 1
23 1 1
17 20 2
15 19 2
11 15 2
19 21 2
18 22 2
13 17 1
19 22 1
5 8 2
22 2 2
16 20 1
7 10 2
2 5 2
7 11 2
7 11 2
18 19 2
0 3 1
5 8 1
8 13 2
2 4 2
13 17 2
15 17 2
10 15 1
3 7 1
20 0 1
12 15 1
13 16 2
16 20 2
23 3 2
15 19 1
10 14 2
17 20 1
13 16 2
10 14 2
15 21 2
2 6 1
7 11 2
5 7 2
5 7 1
7 10 2
8 12 1
0 3 2
6 9 2
2 7 2
21 23 1
7 10 1
13 17 2
11 16 1
2 3 1
5 7 1
4 9 1
17 21 2
23 2 2
18 20 2
16 20 2
4 6 2
15 18 1
17 21 2
2 4 1
15 18 1
8 9 2
9 13 2
8 12 1
9 10 1
2 6 2
11 14 1
11 15 2
4 5 2
12 14 1
21 23 2
8 10 1
5 8 2
19 23 1
4 6 2
8 11 1
22 2 2
9 14 2
17 20 1
3 8 2
3 4 2
12 15 2
7 9 1
6 9 1
2 4 2
1 4 2
23 2 1
13 15 1
20 23 2
10 14 1
11 14 2
22 1 1
20 22 1
1 4 1
17 19 1
16 18 2
