500 3
3 3 1 
0 4 1
9 13 3
23 3 2
13 17 3
9 12 2
18 23 3
12 15 2
14 17 3
2 6 2
5 7 3
5 8 2
17 22 1
18 19 3
11 15 3
20 0 3
17 21 2
22 4 3
18 21 1
17 20 3
11 13 3
7 10 2
8 10 3
3 7 3
12 14 1
9 11 1
21 0 2
12 15 3
1 2 2
4 7 1
3 5 2
9 12 1
3 7 2
17 20 1
17 21 3
5 8 3
21 23 2
16 20 3
19 22 1
10 12 1
5 7 1
7 11 2
0 4 3
17 19 1
4 8 3
10 14 2
16 19 1
4 9 2
16 19 2
11 13 2
6 8 1
13 15 3
3 8 3
2 4 3
7 10 1
14 16 2
11 14 2
1 5 1
13 15 2
12 16 3
15 20 1
3 7 2
22 1 3
15 18 1
12 16 2
16 20 2
2 4 2
20 23 1
7 12 2
3 6 3
3 4 2
17 19 2
23 3 2
23 4 3
3 6 2
8 11 2
0 1 2
3 5 2
22 0 3
15 19 1
13 17 3
2 6 2
7 11 1
18 22 2
5 9 1
20 0 3
9 13 1
0 4 3
20 0 3
2 6 2
8 12 3
22 1 2
6 9 2
20 22 2
10 12 1
7 9 2
11 12 3
17 19 1
9 11 2
18 20 1
20 22 3
12 14 1
21 3 2
7 9 3
6 10 2
16 20 2
8 13 2
11 13 3
20 22 2
3 6 1
14 18 1
17 20 2
10 12 2
6 10 2
22 1 3
6 8 3
3 6 2
14 15 1
3 6 2
12 14 1
16 20 2
3 9 1
11 13 3
9 11 2
7 7 3
2 5 3
0 2 3
1 4 3
15 18 2
23 1 1
9 11 1
9 11 3
7 9 1
23 2 3
22 0 1
13 15 1
15 19 2
21 0 1
13 17 1
23 1 1
23 4 2
17 20 1
18 23 2
23 1 1
6 10 2
8 11 3
8 11 3
16 18 2
12 14 2
9 12 2
2 6 3
15 19 1
22 2 3
16 18 1
21 1 3
17 19 2
19 21 1
11 14 2
5 8 3
11 14 3
4 5 3
9 12 2
17 19 1
23 4 2
12 14 2
14 17 3
17 19 3
15 17 2
22 0 1
6 10 1
0 4 1
16 20 2
8 11 1
19 22 3
15 18 3
11 12 1
14 18 2
9 11 2
13 16 2
2 4 1
2 5 2
20 0 3
0 4 2
20 23 2
15 17 1
21 1 1
1 5 1
14 15 2
10 13 3
21 1 3
18 22 1
16 19 2
8 12 3
5 9 2
22 1 1
19 20 2
6 8 3
17 21 3
8 12 1
16 20 1
0 2 3
3 6 3
8 9 2
5 9 2
3 6 1
1 5 3
0 2 2
22 0 1
13 17 3
12 15 1
19 22 2
22 2 1
17 20 1
18 21 2
16 19 3
20 0 2
7 11 1
19 23 2
9 13 2
3 5 2
3 7 2
3 6 2
14 16 2
10 11 2
2 4 1
13 15 2
4 5 3
22 1 1
4 6 1
1 2 1
23 2 3
17 19 3
1 3 3
20 0 2
9 12 1
13 15 2
8 11 1
6 11 2
18 21 2
12 16 2
8 11 3
6 10 3
2 6 2
6 11 2
15 18 3
8 12 2
1 4 3
20 23 1
10 13 2
9 14 1
1 5 3
10 14 1
8 12 2
12 15 1
17 21 2
10 12 2
8 11 1
9 14 2
22 0 3
3 5 3
10 15 3
1 5 1
14 17 1
15 17 1
11 14 1
0 2 3
6 9 2
18 21 2
22 2 2
3 6 2
15 17 1
5 8 3
15 16 3
23 4 2
23 3 2
23 1 2
7 12 3
8 12 2
5 8 1
13 16 2
10 13 3
11 14 1
22 1 3
12 15 1
12 13 1
9 14 3
18 20 3
6 10 1
8 12 2
22 2 1
21 0 2
0 1 2
2 6 1
17 19 2
7 8 1
17 22 3
13 16 2
15 18 2
9 13 2
3 4 2
18 21 2
15 16 1
7 10 3
17 20 2
19 23 1
15 18 1
13 16 2
14 18 1
6 7 1
13 16 3
23 0 2
10 13 3
22 2 3
20 21 2
12 16 2
22 2 2
16 20 1
1 4 2
7 11 3
3 7 2
2 3 2
8 11 3
19 21 3
5 9 2
18 23 3
7 9 1
17 19 3
2 5 1
20 22 3
18 23 2
17 21 2
18 20 2
19 21 3
22 0 3
1 3 2
2 5 2
8 10 2
15 19 3
19 23 3
9 13 1
11 15 1
10 13 3
14 16 1
11 14 3
0 4 2
10 13 2
23 2 1
4 7 2
14 17 2
5 8 3
0 3 3
14 17 1
21 0 2
21 0 2
0 3 3
8 11 3
2 5 1
20 0 2
23 2 3
20 23 1
8 12 3
11 12 1
23 3 2
4 6 2
11 14 3
14 18 2
3 5 2
3 7 3
8 10 3
0 3 1
10 14 2
15 18 3
8 10 3
1 1 3
0 2 1
19 22 3
7 12 3
19 22 2
13 15 2
18 20 1
0 5 2
0 3 3
4 6 1
8 11 3
8 11 3
9 11 2
17 20 3
0 3 2
7 10 2
19 22 1
21 0 1
6 8 1
2 5 1
6 9 2
7 11 1
16 20 3
23 4 1
11 13 1
15 17 2
17 21 3
8 9 3
6 10 2
12 14 1
20 0 2
18 22 3
5 7 3
2 4 2
6 10 3
14 18 2
6 8 2
0 3 3
5 8 3
13 16 3
19 23 1
13 17 2
8 11 1
15 20 2
22 2 1
19 21 2
18 21 3
0 3 2
3 6 3
5 6 2
9 14 3
2 4 3
15 17 2
21 23 1
12 14 2
0 4 1
16 19 2
5 7 1
0 3 3
4 6 1
13 17 1
3 6 2
3 6 3
18 22 1
18 22 3
7 11 1
21 1 2
0 2 1
16 19 2
8 12 2
5 7 2
5 9 1
21 1 2
19 23 3
22 23 3
20 1 3
18 22 2
17 21 3
17 21 1
23 2 3
20 23 2
15 19 3
14 17 3
12 16 1
3 4 1
16 19 1
21 22 2
18 22 3
2 5 2
0 4 1
4 9 2
2 4 3
17 20 1
17 20 1
4 6 1
7 10 1
8 13 1
12 14 1
17 20 2
1 4 1
20 22 2
4 6 2
17 20 2
2 4 2
15 18 2
17 20 1
18 20 1
16 19 2
4 8 2
10 13 2
14 18 3
21 1 3
0 3 1
9 10 3
20 23 1
6 9 3
22 1 3
15 18 1
4 8 1
3 6 2
0 3 1
16 21 2
10 15 3
2 6 1
8 10 3
6 8 1
22 1 1
16 18 1
